,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
13769,71,2020-03-15,23,Hasselt,71000,418496,0.05
11648,58,2020-03-15,1,La Louvière,58000,141060,0.01
12480,62,2020-03-15,8,Liège,62000,624422,0.01
2308,24,2020-03-15,9,Louvain,24000,508734,0.02
14229,72,2020-03-15,2,Maaseik,72000,251589,0.01
477,12,2020-03-15,5,Malines,12000,344818,0.01
9951,53,2020-03-15,15,Mons,53000,258999,0.06
17349,92,2020-03-15,1,Namur,92000,316962,0.0
2762,25,2020-03-15,6,Nivelles,25000,403599,0.01
4897,35,2020-03-15,4,Ostende,35000,157200,0.03
8665,46,2020-03-15,3,Saint-Nicolas,46000,252523,0.01
6990,42,2020-03-15,2,Termonde,42000,201213,0.01
5781,37,2020-03-15,1,Tielt,37000,92905,0.01
14678,73,2020-03-15,6,Tongres,73000,203963,0.03
923,13,2020-03-15,3,Turnhout,13000,461867,0.01
12938,63,2020-03-15,2,Verviers,63000,287772,0.01
4038,33,2020-03-15,2,Ypres,33000,106279,0.02
6553,41,2020-03-16,3,Alost,41000,291229,0.01
14,11,2020-03-16,28,Anvers,11000,1051301,0.03
15119,81,2020-03-16,1,Arlon,81000,62623,0.02
8253,45,2020-03-16,1,Audenarde,45000,124342,0.01
3218,31,2020-03-16,4,Bruges,31000,282209,0.01
1384,21,2020-03-16,45,Bruxelles-Capitale,21000,1208542,0.04
9507,52,2020-03-16,7,Charleroi,52000,396639,0.02
4453,34,2020-03-16,5,Courtrai,34000,290706,0.02
3656,32,2020-03-16,1,Dixmude,32000,51525,0.02
6186,38,2020-03-16,1,Furnes,38000,61657,0.02
7805,44,2020-03-16,13,Gand,44000,560522,0.02
1848,23,2020-03-16,17,Hal-Vilvorde,23000,637441,0.03
13770,71,2020-03-16,10,Hasselt,71000,418496,0.02
12073,61,2020-03-16,4,Huy,61000,113409,0.04
11649,58,2020-03-16,2,La Louvière,58000,141060,0.01
12481,62,2020-03-16,25,Liège,62000,624422,0.04
2309,24,2020-03-16,10,Louvain,24000,508734,0.02
