,date,Age,Location
590,2019-01-17,58,Tournai
591,2019-01-17,119,-
592,2019-01-17,72,Sovet
593,2019-01-17,52,Ciney
594,2019-01-17,86,Aisemont
595,2019-01-17,80,Oudenaarde
596,2019-01-17,74,Riemst
597,2019-01-17,91,-
598,2019-01-17,104,Heusy
599,2019-01-17,82,-
600,2019-01-17,79,Maaseik
601,2019-01-17,69,Tournai
602,2019-01-17,87,Bastogne
603,2019-01-17,70,Overijse
604,2019-01-17,88,Genk
605,2019-01-17,86,Zonhoven
606,2019-01-17,86,Schulen
607,2019-01-17,85,Hasselt
608,2019-01-17,63,Neeroeteren
609,2019-01-17,24,Aartrijke
610,2019-01-17,93,Overpelt
611,2019-01-17,92,Bilzen
612,2019-01-17,74,Chastrès
613,2019-01-17,87,Halle
614,2019-01-17,71,Sint-Truiden
615,2019-01-17,84,Genk
616,2019-01-17,67,Boechout
617,2019-01-17,79,Genk
618,2019-01-17,93,Riemst
619,2019-01-16,95,Koersel
620,2019-01-16,85,Mariakerke
621,2019-01-16,88,Grand-Halleux
622,2019-01-16,83,Hasselt
623,2019-01-16,81,Genk
624,2019-01-16,92,Tournai
625,2019-01-16,60,Genk
626,2019-01-16,90,Genk
627,2019-01-16,78,-
628,2019-01-16,92,Hoeselt
629,2019-01-16,91,Wépion
630,2019-01-16,88,Bauffe
631,2019-01-16,82,
632,2019-01-16,95,-
633,2019-01-16,63,Malonne
634,2019-01-16,65,Chièvres
635,2019-01-16,65,Bruxelles
636,2019-01-16,91,Kerkom-bij-Sint-Truiden
637,2019-01-16,52,Moorslede
638,2019-01-16,82,-
639,2019-01-16,84,Battice
640,2019-01-16,68,Vucht
641,2019-01-16,86,Maaseik
642,2019-01-16,92,Welkenraedt
643,2019-01-16,90,Waha
644,2019-01-16,75,-
645,2019-01-16,58,Overpelt
646,2019-01-16,78,Genk
647,2019-01-16,86,
648,2019-01-16,91,Ath
649,2019-01-16,73,Sint-Truiden
650,2019-01-16,78,Pulderbos
651,2019-01-16,82,Stevoort
652,2019-01-16,91,Xhendelesse
653,2019-01-16,67,Bastogne
654,2019-01-16,79,Sint-Denijs-Westrem
655,2019-01-16,72,Ath
656,2019-01-16,95,-
657,2019-01-16,86,Grote-Spouwen
658,2019-01-16,102,Wiers
659,2019-01-16,79,Hulste
660,2019-01-16,88,Mortsel
661,2019-01-16,87,Heverlee
662,2019-01-15,93,Philippeville
663,2019-01-15,89,Genk
664,2019-01-15,76,Kermt
665,2019-01-15,90,Celles
666,2019-01-15,61,Duffel
667,2019-01-15,87,Zolder
668,2019-01-15,94,Sint-Truiden
669,2019-01-15,90,Ogy
670,2019-01-15,82,Brugelette
671,2019-01-15,79,Battice
672,2019-01-15,88,Tongerlo
673,2019-01-15,70,Tongeren
674,2019-01-15,85,Zonhoven
675,2019-01-15,66,Kinrooi
676,2019-01-15,52,Hasselt
677,2019-01-15,82,Lanaken
678,2019-01-15,79,Andrimont
679,2019-01-15,67,Wellen
680,2019-01-15,-1,
681,2019-01-15,90,Loppem
682,2019-01-15,71,Lommel
683,2019-01-15,62,Opgrimbie
684,2019-01-15,87,Genk
685,2019-01-15,42,Bilzen
686,2019-01-15,91,Barvaux-Condroz
687,2019-01-15,83,Meeuwen
688,2019-01-15,79,Koksijde
689,2019-01-15,75,Geel
690,2019-01-15,82,Ciney
691,2019-01-15,75,Zonhoven
692,2019-01-15,96,Bastogne
693,2019-01-15,88,Zutendaal
694,2019-01-15,92,Chièvres
695,2019-01-15,92,Varsenare
696,2019-01-15,52,Alken
697,2019-01-15,73,Sint-Truiden
698,2019-01-15,81,Berbroek
699,2019-01-15,90,Grembergen
700,2019-01-14,94,Villers-la-Loue
701,2019-01-14,84,Virton
702,2019-01-14,73,Eksel
703,2019-01-14,91,Saint-Aubin
704,2019-01-14,45,Ciney
705,2019-01-14,82,Saint-Marc
706,2019-01-14,87,Kermt
707,2019-01-14,80,Aubel
708,2019-01-14,89,Hasselt
709,2019-01-14,56,Beerse
710,2019-01-14,83,-
711,2019-01-14,84,Tournai
712,2019-01-14,76,Meslin-l'Évêque
713,2019-01-14,52,Diepenbeek
714,2019-01-14,64,Kain
715,2019-01-14,40,Tongeren
716,2019-01-14,90,Verlée
717,2019-01-14,89,Wellen
718,2019-01-14,62,Grandmetz
719,2019-01-14,72,Verviers
720,2019-01-14,87,Namur
721,2019-01-14,66,Manilla
722,2019-01-14,68,Tournai
723,2019-01-14,80,Tournai
724,2019-01-14,64,Jalhay
725,2019-01-14,83,Deinze
726,2019-01-14,75,Rumillies
727,2019-01-14,97,Mortsel
728,2019-01-14,66,-
729,2019-01-14,90,Tongeren
730,2019-01-14,87,Herentals
731,2019-01-14,94,Barvaux-sur-Ourthe
732,2019-01-14,96,Hasselt
733,2019-01-14,75,Verviers
734,2019-01-14,100,-
735,2019-01-14,92,Hasselt
736,2019-01-14,78,Rijkevorsel
737,2019-01-14,70,Hasselt
738,2019-01-14,106,Heusden-Zolder
