Jaar week,AgeGroup,Hospitalisations
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),80–++,0.204
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),60–79,0.407
5 apr. 2021 t/m 11 apr. 2021 (Week 14),80–++,0.176
5 apr. 2021 t/m 11 apr. 2021 (Week 14),60–79,0.443
5 apr. 2021 t/m 11 apr. 2021 (Week 14),40–59,0.282
5 apr. 2021 t/m 11 apr. 2021 (Week 14),20–39,0.088
5 apr. 2021 t/m 11 apr. 2021 (Week 14),06–19,0.006
5 apr. 2021 t/m 11 apr. 2021 (Week 14),00–05,0.004
12 apr. 2021 t/m 18 apr. 2021 (Week 15),40–59,0.294
12 apr. 2021 t/m 18 apr. 2021 (Week 15),20–39,0.08
12 apr. 2021 t/m 18 apr. 2021 (Week 15),60–79,0.389
12 apr. 2021 t/m 18 apr. 2021 (Week 15),06–19,0.007
12 apr. 2021 t/m 18 apr. 2021 (Week 15),80–++,0.222
12 apr. 2021 t/m 18 apr. 2021 (Week 15),00–05,0.008
19 apr. 2021 t/m 25 apr. 2021 (Week 16),06–19,0.009
19 apr. 2021 t/m 25 apr. 2021 (Week 16),00–05,0.013
19 apr. 2021 t/m 25 apr. 2021 (Week 16),20–39,0.1
19 apr. 2021 t/m 25 apr. 2021 (Week 16),80–++,0.162
19 apr. 2021 t/m 25 apr. 2021 (Week 16),60–79,0.423
19 apr. 2021 t/m 25 apr. 2021 (Week 16),40–59,0.293
26 apr. 2021 t/m 2 mei 2021 (Week 17),00–05,0.016
26 apr. 2021 t/m 2 mei 2021 (Week 17),20–39,0.118
26 apr. 2021 t/m 2 mei 2021 (Week 17),06–19,0.011
26 apr. 2021 t/m 2 mei 2021 (Week 17),80–++,0.15
26 apr. 2021 t/m 2 mei 2021 (Week 17),60–79,0.381
26 apr. 2021 t/m 2 mei 2021 (Week 17),40–59,0.324
3 mei 2021 t/m 9 mei 2021 (Week 18),06–19,0.012
3 mei 2021 t/m 9 mei 2021 (Week 18),00–05,0.005
3 mei 2021 t/m 9 mei 2021 (Week 18),80–++,0.16
3 mei 2021 t/m 9 mei 2021 (Week 18),60–79,0.318
3 mei 2021 t/m 9 mei 2021 (Week 18),40–59,0.374
3 mei 2021 t/m 9 mei 2021 (Week 18),20–39,0.131
10 mei 2021 t/m 16 mei 2021 (Week 19),40–59,0.381
10 mei 2021 t/m 16 mei 2021 (Week 19),20–39,0.13
10 mei 2021 t/m 16 mei 2021 (Week 19),60–79,0.329
10 mei 2021 t/m 16 mei 2021 (Week 19),06–19,0.008
10 mei 2021 t/m 16 mei 2021 (Week 19),80–++,0.135
10 mei 2021 t/m 16 mei 2021 (Week 19),00–05,0.017
17 mei 2021 t/m 23 mei 2021 (Week 20),80–++,0.114
17 mei 2021 t/m 23 mei 2021 (Week 20),00–05,0.011
17 mei 2021 t/m 23 mei 2021 (Week 20),60–79,0.268
17 mei 2021 t/m 23 mei 2021 (Week 20),40–59,0.435
17 mei 2021 t/m 23 mei 2021 (Week 20),20–39,0.151
17 mei 2021 t/m 23 mei 2021 (Week 20),06–19,0.021
24 mei 2021 t/m 30 mei 2021 (Week 21),00–05,0.027
