INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
23024,Gooik,Gooik,23024C,OETINGEN,OETINGEN,
23024,Gooik,Gooik,23024D,KESTER,KESTER,
23025,Grimbergen,Grimbergen,23025A,GRIMBERGEN,GRIMBERGEN,
23025,Grimbergen,Grimbergen,23025B,STROMBEEK - BEVER,STROMBEEK - BEVER,
23025,Grimbergen,Grimbergen,23025C,BEIGEM,BEIGEM,
23025,Grimbergen,Grimbergen,23025D,HUMBEEK,HUMBEEK,
23027,Halle,Hal,23027A,HALLE,HALLE,
23027,Halle,Hal,23027B,BUIZINGEN,BUIZINGEN,
23027,Halle,Hal,23027C,LEMBEEK,LEMBEEK,
23032,Herne,Herne,23032A,HERNE,HERNE,
23032,Herne,Herne,23032B,HERFELINGEN,HERFELINGEN,
23032,Herne,Herne,23032C,SINT-PIETERS-KAPELLE,SINT-PIETERS-KAPELLE,
23033,Hoeilaart,Hoeilaart,23033A,HOEILAART,HOEILAART,
23038,Kampenhout,Kampenhout,23038A,KAMPENHOUT,KAMPENHOUT,
23038,Kampenhout,Kampenhout,23038B,BUKEN,BUKEN,
23038,Kampenhout,Kampenhout,23038C,NEDEROKKERZEEL,NEDEROKKERZEEL,
23038,Kampenhout,Kampenhout,23038D,BERG,BERG,
23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,23039A,KAPELLE-OP-DEN-BOS EN DEEL VAN ZEMST,KAPELLE-OP-DEN-BOS EN DEEL VAN ZEMST,
23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,23039B,NIEUWENRODE,NIEUWENRODE,
23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,23039C,RAMSDONK,RAMSDONK,
23044,Liedekerke,Liedekerke,23044A,LIEDEKERKE +DEEL BORCHTLOMBEEK,LIEDEKERKE +DEEL BORCHTLOMBEEK,
23045,Londerzeel,Londerzeel,23045A,LONDERZEEL,LONDERZEEL,
23045,Londerzeel,Londerzeel,23045B,MALDEREN,MALDEREN,
23045,Londerzeel,Londerzeel,23045C,STEENHUFFEL,STEENHUFFEL,
23047,Machelen,Machelen,230471,WIJZIGING VAN GEMEENTEGRENS,WIJZIGING VAN GEMEENTEGRENS,
23047,Machelen,Machelen,23047A,MACHELEN,MACHELEN,
23047,Machelen,Machelen,23047B,DIEGEM,DIEGEM,
23050,Meise,Meise,23050A,MEISE + DEEL VAN BRUSSEGEM,MEISE + DEEL VAN BRUSSEGEM,
23050,Meise,Meise,23050B,WOLVERTEM,WOLVERTEM,
23052,Merchtem,Merchtem,23052A,MERCHTEM,MERCHTEM,
23052,Merchtem,Merchtem,23052B,BRUSSEGEM*,BRUSSEGEM*,
23052,Merchtem,Merchtem,23052C,HAMME,HAMME,
23060,Opwijk,Opwijk,23060A,OPWIJK,OPWIJK,
23060,Opwijk,Opwijk,23060B,MAZENZELE,MAZENZELE,
23062,Overijse,Overijse,23062A,OVERIJSE,OVERIJSE,
23064,Pepingen,Pepingen,23064A,PEPINGEN,PEPINGEN,
23064,Pepingen,Pepingen,23064B,ELINGEN,ELINGEN,
23064,Pepingen,Pepingen,23064C,BEERT,BEERT,
23064,Pepingen,Pepingen,23064D,BELLINGEN,BELLINGEN,
23064,Pepingen,Pepingen,23064E,BOGAARDEN,BOGAARDEN,
23064,Pepingen,Pepingen,23064F,HEIKRUIS,HEIKRUIS,
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23077A,SINT-PIETERS-LEEUW,SINT-PIETERS-LEEUW,
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23077B,OUDENAKEN,OUDENAKEN,
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23077C,SINT-LAUREINS-BERCHEM,SINT-LAUREINS-BERCHEM,
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23077D,VLEZEMBEEK,VLEZEMBEEK,
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23077E,RUISBROEK,RUISBROEK,
23081,Steenokkerzeel,Steenokkerzeel,23081A,STEENOKKERZEEL,STEENOKKERZEEL,
23081,Steenokkerzeel,Steenokkerzeel,23081B,MELSBROEK,MELSBROEK,
23081,Steenokkerzeel,Steenokkerzeel,23081C,PERK,PERK,
23086,Ternat,Ternat,23086A,TERNAT,TERNAT,
23086,Ternat,Ternat,23086B,WAMBEEK,WAMBEEK,
23086,Ternat,Ternat,23086C,SINT-KATHERINA-LOMBEEK,SINT-KATHERINA-LOMBEEK,
23088,Vilvoorde,Vilvorde,230881,WIJZIGING VAN GEMEENTEGRENS,WIJZIGING VAN GEMEENTEGRENS,
23088,Vilvoorde,Vilvorde,23088A,VILVOORDE,VILVOORDE,
23088,Vilvoorde,Vilvorde,23088B,PEUTIE,PEUTIE,
23094,Zaventem,Zaventem,23094A,ZAVENTEM,ZAVENTEM,
23094,Zaventem,Zaventem,23094B,NOSSEGEM,NOSSEGEM,
23094,Zaventem,Zaventem,23094C,STERREBEEK,STERREBEEK,
23094,Zaventem,Zaventem,23094D,SINT-STEVENS-WOLUWE,SINT-STEVENS-WOLUWE,
23096,Zemst,Zemst,23096A,ZEMST*,ZEMST*,
23096,Zemst,Zemst,23096B,HOFSTADE,HOFSTADE,
23096,Zemst,Zemst,23096C,WEERDE,WEERDE,
23096,Zemst,Zemst,23096D,ELEWIJT,ELEWIJT,
23096,Zemst,Zemst,23096E,EPPEGEM,EPPEGEM,
23097,Roosdaal,Roosdaal,230971,WIJZIGING VAN GEMEENTEGRENS,WIJZIGING VAN GEMEENTEGRENS,
23097,Roosdaal,Roosdaal,23097A,ROOSDAAL*+DEEL VAN GOOIK EN SINT-KWINTENS-LENNIK,ROOSDAAL*+DEEL VAN GOOIK EN SINT-KWINTENS-LENNIK,
23097,Roosdaal,Roosdaal,23097B,BORCHTLOMBEEK*,BORCHTLOMBEEK*,
23098,Drogenbos,Drogenbos,23098A,DROGENBOS,DROGENBOS,
