INS,FR,Langue,NL
85011,Florenville,F,Florenville
85046,Habay,F,Habay
85024,Meix-devant-Virton,F,Meix-devant-Virton
85026,Musson,F,Musson
85047,Rouvroy,F,Rouvroy
85034,Saint-Léger,F,Saint-Léger
85039,Tintigny,F,Tintigny
85045,Virton,F,Virton
90000,Province de Namur,,Provincie Namen
91000,Arrondissement de Dinant,,Arrondissement Dinant
91005,Anhée,F,Anhée
91013,Beauraing,F,Beauraing
91015,Bièvre,F,Bièvre
91030,Ciney,F,Ciney
91034,Dinant,F,Dinant
91054,Gedinne,F,Gedinne
91059,Hamois,F,Hamois
91142,Hastière,F,Hastière
91064,Havelange,F,Havelange
91072,Houyet,F,Houyet
91103,Onhaye,F,Onhaye
91114,Rochefort,F,Rochefort
91120,Somme-Leuze,F,Somme-Leuze
91143,Vresse-sur-Semois,F,Vresse-sur-Semois
91141,Yvoir,F,Yvoir
92000,Arrondissement de Namur,,Arrondissement Namen
92003,Andenne,F,Andenne
92006,Assesse,F,Assesse
92035,Eghezée,F,Eghezée
92138,Fernelmont,F,Fernelmont
92045,Floreffe,F,Floreffe
92048,Fosses-la-Ville,F,Fosses-la-Ville
92142,Gembloux,F,Gembloux
92054,Gesves,F,Gesves
92140,Jemeppe-sur-Sambre,F,Jemeppe-sur-Sambre
92141,La Bruyère,F,La Bruyère
92087,Mettet,F,Mettet
92094,Namur,F,Namen
92097,Ohey,F,Ohey
92101,Profondeville,F,Profondeville
92137,Sambreville,F,Sambreville
92114,Sombreffe,F,Sombreffe
93000,Arrondissement de Philippeville,,Arrondissement Philippeville
93010,Cerfontaine,F,Cerfontaine
93014,Couvin,F,Couvin
93018,Doische,F,Doische
93022,Florennes,F,Florennes
93056,Philippeville,F,Philippeville
93090,Viroinval,F,Viroinval
93088,Walcourt,F,Walcourt
