,YEAR_WEEK,NIS5,AGEGROUP,DOSE,CUMUL
487,21W01,21014,18-34,A,<10
488,21W01,21014,55-64,A,<10
489,21W01,21014,65-74,A,<10
490,21W01,21015,18-34,A,<10
491,21W01,21015,35-44,A,<10
492,21W01,21015,45-54,A,12
493,21W01,21015,55-64,A,23
494,21W01,21015,65-74,A,27
495,21W01,21015,75-84,A,40
496,21W01,21015,85+,A,42
497,21W01,21016,18-34,A,<10
498,21W01,21016,35-44,A,<10
499,21W01,21016,45-54,A,18
500,21W01,21016,55-64,A,26
501,21W01,21016,65-74,A,48
502,21W01,21016,75-84,A,73
503,21W01,21016,85+,A,147
504,21W01,21017,18-34,A,<10
505,21W01,21017,35-44,A,<10
506,21W01,21017,45-54,A,15
507,21W01,21017,55-64,A,44
508,21W01,21017,65-74,A,92
509,21W01,21017,75-84,A,95
510,21W01,21017,85+,A,135
511,21W01,21018,18-34,A,<10
512,21W01,21018,35-44,A,<10
513,21W01,21018,45-54,A,<10
514,21W01,21018,55-64,A,<10
515,21W01,21018,65-74,A,15
516,21W01,21018,75-84,A,29
517,21W01,21018,85+,A,70
518,21W01,21019,18-34,A,<10
519,21W01,21019,35-44,A,<10
520,21W01,21019,45-54,A,<10
521,21W01,21019,55-64,A,<10
522,21W01,21019,65-74,A,10
523,21W01,21019,75-84,A,18
524,21W01,21019,85+,A,84
525,21W01,23002,18-34,A,<10
526,21W01,23002,35-44,A,<10
527,21W01,23002,45-54,A,<10
528,21W01,23002,55-64,A,<10
529,21W01,23002,75-84,A,<10
530,21W01,23002,85+,A,<10
531,21W01,23003,18-34,A,<10
532,21W01,23003,35-44,A,<10
533,21W01,23003,45-54,A,<10
534,21W01,23003,55-64,A,<10
535,21W01,23003,65-74,A,<10
536,21W01,23009,45-54,A,<10
537,21W01,23009,55-64,A,<10
538,21W01,23016,18-34,A,<10
539,21W01,23016,35-44,A,<10
540,21W01,23016,45-54,A,<10
541,21W01,23016,55-64,A,10
542,21W01,23016,65-74,A,<10
543,21W01,23016,75-84,A,<10
544,21W01,23016,85+,A,<10
545,21W01,23023,35-44,A,<10
546,21W01,23023,45-54,A,<10
547,21W01,23023,85+,A,<10
548,21W01,23024,55-64,A,<10
549,21W01,23025,0-17,A,<10
550,21W01,23025,18-34,A,<10
551,21W01,23025,35-44,A,<10
552,21W01,23025,45-54,A,10
553,21W01,23025,55-64,A,<10
554,21W01,23025,65-74,A,<10
555,21W01,23025,75-84,A,11
556,21W01,23025,85+,A,82
557,21W01,23027,18-34,A,<10
558,21W01,23027,35-44,A,<10
559,21W01,23027,45-54,A,<10
560,21W01,23027,55-64,A,<10
561,21W01,23027,65-74,A,<10
562,21W01,23027,75-84,A,<10
563,21W01,23027,85+,A,<10
564,21W01,23032,18-34,A,<10
565,21W01,23032,35-44,A,<10
566,21W01,23032,45-54,A,<10
567,21W01,23032,55-64,A,<10
568,21W01,23032,75-84,A,<10
569,21W01,23032,85+,A,<10
570,21W01,23033,35-44,A,<10
571,21W01,23033,55-64,A,<10
572,21W01,23033,85+,A,<10
573,21W01,23038,18-34,A,<10
574,21W01,23038,35-44,A,<10
575,21W01,23038,45-54,A,<10
576,21W01,23038,55-64,A,<10
577,21W01,23038,65-74,A,<10
578,21W01,23038,75-84,A,<10
579,21W01,23038,85+,A,<10
580,21W01,23039,18-34,A,<10
581,21W01,23039,35-44,A,<10
582,21W01,23039,45-54,A,<10
583,21W01,23039,55-64,A,<10
584,21W01,23039,65-74,A,<10
585,21W01,23039,75-84,A,23
586,21W01,23039,85+,A,74
587,21W01,23044,18-34,A,<10
588,21W01,23044,45-54,A,<10
589,21W01,23044,75-84,A,<10
590,21W01,23044,85+,A,<10
591,21W01,23045,18-34,A,<10
592,21W01,23045,35-44,A,<10
593,21W01,23045,45-54,A,<10
594,21W01,23045,55-64,A,<10
595,21W01,23045,65-74,A,<10
596,21W01,23045,75-84,A,30
597,21W01,23045,85+,A,78
598,21W01,23047,35-44,A,<10
599,21W01,23047,45-54,A,<10
600,21W01,23047,65-74,A,<10
601,21W01,23047,75-84,A,<10
602,21W01,23047,85+,A,<10
603,21W01,23050,18-34,A,<10
604,21W01,23050,35-44,A,<10
605,21W01,23050,45-54,A,<10
606,21W01,23050,55-64,A,14
607,21W01,23050,65-74,A,22
608,21W01,23050,75-84,A,45
609,21W01,23050,85+,A,94
610,21W01,23052,35-44,A,<10
611,21W01,23052,45-54,A,<10
612,21W01,23052,55-64,A,<10
