,DATE,REGION,AGEGROUP,SEX,DEATHS
542,2020-04-10,Wallonia,85+,M,21
543,2020-04-10,Wallonia,85+,F,37
544,2020-04-11,Flanders,45-64,M,2
545,2020-04-11,Flanders,45-64,F,2
546,2020-04-11,Flanders,65-74,M,4
547,2020-04-11,Flanders,65-74,F,2
548,2020-04-11,Flanders,75-84,M,20
549,2020-04-11,Flanders,75-84,F,16
550,2020-04-11,Flanders,85+,M,31
551,2020-04-11,Flanders,85+,F,41
552,2020-04-11,Flanders,NA,NA,2
553,2020-04-11,Brussels,45-64,M,1
554,2020-04-11,Brussels,65-74,M,2
555,2020-04-11,Brussels,75-84,M,4
556,2020-04-11,Brussels,75-84,F,6
557,2020-04-11,Brussels,85+,M,9
558,2020-04-11,Brussels,85+,F,11
559,2020-04-11,Wallonia,45-64,M,6
560,2020-04-11,Wallonia,45-64,F,5
561,2020-04-11,Wallonia,65-74,M,8
562,2020-04-11,Wallonia,65-74,F,11
563,2020-04-11,Wallonia,75-84,M,16
564,2020-04-11,Wallonia,75-84,F,13
565,2020-04-11,Wallonia,85+,M,22
566,2020-04-11,Wallonia,85+,F,50
567,2020-04-12,Flanders,45-64,M,4
568,2020-04-12,Flanders,45-64,F,2
569,2020-04-12,Flanders,65-74,M,6
570,2020-04-12,Flanders,65-74,F,1
571,2020-04-12,Flanders,75-84,M,25
572,2020-04-12,Flanders,75-84,F,15
573,2020-04-12,Flanders,85+,M,36
574,2020-04-12,Flanders,85+,F,34
575,2020-04-12,Brussels,25-44,M,1
576,2020-04-12,Brussels,45-64,M,3
577,2020-04-12,Brussels,45-64,F,1
578,2020-04-12,Brussels,65-74,M,7
579,2020-04-12,Brussels,65-74,F,1
580,2020-04-12,Brussels,75-84,M,7
581,2020-04-12,Brussels,75-84,F,6
582,2020-04-12,Brussels,85+,M,4
583,2020-04-12,Brussels,85+,F,13
584,2020-04-12,Wallonia,45-64,M,4
585,2020-04-12,Wallonia,45-64,F,4
586,2020-04-12,Wallonia,65-74,M,7
587,2020-04-12,Wallonia,65-74,F,2
588,2020-04-12,Wallonia,75-84,M,13
589,2020-04-12,Wallonia,75-84,F,15
590,2020-04-12,Wallonia,85+,M,20
591,2020-04-12,Wallonia,85+,F,34
592,2020-04-13,Flanders,45-64,M,7
593,2020-04-13,Flanders,45-64,F,4
594,2020-04-13,Flanders,65-74,M,6
595,2020-04-13,Flanders,65-74,F,5
596,2020-04-13,Flanders,75-84,M,20
597,2020-04-13,Flanders,75-84,F,20
598,2020-04-13,Flanders,85+,M,37
599,2020-04-13,Flanders,85+,F,51
600,2020-04-13,Brussels,25-44,M,1
601,2020-04-13,Brussels,65-74,M,5
602,2020-04-13,Brussels,65-74,F,1
603,2020-04-13,Brussels,75-84,M,4
604,2020-04-13,Brussels,75-84,F,5
605,2020-04-13,Brussels,85+,M,7
606,2020-04-13,Brussels,85+,F,12
607,2020-04-13,Wallonia,45-64,M,4
608,2020-04-13,Wallonia,45-64,F,2
609,2020-04-13,Wallonia,65-74,M,8
610,2020-04-13,Wallonia,65-74,F,1
611,2020-04-13,Wallonia,75-84,M,14
612,2020-04-13,Wallonia,75-84,F,19
613,2020-04-13,Wallonia,85+,M,18
614,2020-04-13,Wallonia,85+,F,26
615,2020-04-14,Flanders,45-64,M,1
616,2020-04-14,Flanders,45-64,F,1
617,2020-04-14,Flanders,65-74,M,3
618,2020-04-14,Flanders,65-74,F,8
619,2020-04-14,Flanders,75-84,M,36
620,2020-04-14,Flanders,75-84,F,19
621,2020-04-14,Flanders,85+,M,26
622,2020-04-14,Flanders,85+,F,41
623,2020-04-14,Brussels,25-44,M,1
624,2020-04-14,Brussels,45-64,M,1
625,2020-04-14,Brussels,45-64,F,2
626,2020-04-14,Brussels,65-74,M,1
627,2020-04-14,Brussels,65-74,F,1
