CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
3000,1,85+,2013-01-02,2013,11
3000,1,85+,2014-01-02,2014,12
3000,1,85+,2015-01-02,2015,18
3000,1,85+,2016-01-02,2016,14
3000,1,85+,2017-01-02,2017,18
3000,1,85+,2018-01-02,2018,20
3000,1,85+,2019-01-02,2019,6
3000,1,85+,2020-01-02,2020,9
3000,2,0-24,2010-01-02,2010,1
3000,2,0-24,2018-01-02,2018,1
3000,2,25-44,2009-01-02,2009,2
3000,2,25-44,2010-01-02,2010,1
3000,2,25-44,2011-01-02,2011,1
3000,2,25-44,2012-01-02,2012,2
3000,2,25-44,2014-01-02,2014,1
3000,2,25-44,2017-01-02,2017,3
3000,2,25-44,2018-01-02,2018,1
3000,2,25-44,2019-01-02,2019,3
3000,2,45-64,2009-01-02,2009,4
3000,2,45-64,2010-01-02,2010,4
3000,2,45-64,2011-01-02,2011,8
3000,2,45-64,2012-01-02,2012,3
3000,2,45-64,2013-01-02,2013,5
3000,2,45-64,2014-01-02,2014,7
3000,2,45-64,2015-01-02,2015,6
3000,2,45-64,2016-01-02,2016,7
3000,2,45-64,2017-01-02,2017,6
3000,2,45-64,2018-01-02,2018,6
3000,2,45-64,2019-01-02,2019,1
3000,2,45-64,2020-01-02,2020,7
3000,2,65-74,2009-01-02,2009,11
3000,2,65-74,2010-01-02,2010,4
3000,2,65-74,2011-01-02,2011,8
3000,2,65-74,2012-01-02,2012,6
3000,2,65-74,2013-01-02,2013,9
3000,2,65-74,2014-01-02,2014,5
3000,2,65-74,2015-01-02,2015,13
3000,2,65-74,2016-01-02,2016,2
3000,2,65-74,2017-01-02,2017,10
3000,2,65-74,2018-01-02,2018,8
3000,2,65-74,2019-01-02,2019,6
3000,2,65-74,2020-01-02,2020,12
3000,2,75-84,2009-01-02,2009,19
3000,2,75-84,2010-01-02,2010,21
3000,2,75-84,2011-01-02,2011,21
3000,2,75-84,2012-01-02,2012,18
3000,2,75-84,2013-01-02,2013,12
3000,2,75-84,2014-01-02,2014,23
3000,2,75-84,2015-01-02,2015,23
3000,2,75-84,2016-01-02,2016,14
3000,2,75-84,2017-01-02,2017,11
3000,2,75-84,2018-01-02,2018,12
3000,2,75-84,2019-01-02,2019,19
3000,2,75-84,2020-01-02,2020,16
3000,2,85+,2009-01-02,2009,34
3000,2,85+,2010-01-02,2010,22
3000,2,85+,2011-01-02,2011,27
3000,2,85+,2012-01-02,2012,25
3000,2,85+,2013-01-02,2013,25
3000,2,85+,2014-01-02,2014,34
3000,2,85+,2015-01-02,2015,49
3000,2,85+,2016-01-02,2016,24
3000,2,85+,2017-01-02,2017,35
3000,2,85+,2018-01-02,2018,37
3000,2,85+,2019-01-02,2019,41
3000,2,85+,2020-01-02,2020,25
4000,1,0-24,2009-01-02,2009,1
4000,1,0-24,2012-01-02,2012,1
4000,1,0-24,2015-01-02,2015,1
4000,1,25-44,2009-01-02,2009,1
4000,1,25-44,2014-01-02,2014,1
4000,1,25-44,2015-01-02,2015,1
4000,1,45-64,2009-01-02,2009,1
4000,1,45-64,2010-01-02,2010,1
4000,1,45-64,2011-01-02,2011,1
4000,1,45-64,2012-01-02,2012,1
4000,1,45-64,2013-01-02,2013,4
4000,1,45-64,2014-01-02,2014,2
4000,1,45-64,2015-01-02,2015,5
4000,1,45-64,2016-01-02,2016,2
4000,1,45-64,2017-01-02,2017,1
4000,1,45-64,2018-01-02,2018,2
4000,1,45-64,2019-01-02,2019,3
4000,1,45-64,2020-01-02,2020,2
4000,1,65-74,2010-01-02,2010,1
4000,1,65-74,2011-01-02,2011,1
4000,1,65-74,2012-01-02,2012,5
4000,1,65-74,2013-01-02,2013,5
4000,1,65-74,2014-01-02,2014,1
4000,1,65-74,2015-01-02,2015,3
4000,1,65-74,2016-01-02,2016,2
4000,1,65-74,2017-01-02,2017,7
4000,1,65-74,2018-01-02,2018,2
4000,1,65-74,2019-01-02,2019,1
