DATE,REGION,AGEGROUP,SEX,DOSE,COUNT
2021-01-12,Flanders,65-74,M,A,251
2021-01-12,Flanders,75-84,F,A,1141
2021-01-12,Flanders,75-84,M,A,536
2021-01-12,Flanders,85+,F,A,2708
2021-01-12,Flanders,85+,M,A,860
2021-01-12,,18-34,F,A,10
2021-01-12,,18-34,M,A,4
2021-01-12,,35-44,F,A,17
2021-01-12,,35-44,M,A,2
2021-01-12,,45-54,F,A,14
2021-01-12,,45-54,M,A,2
2021-01-12,,55-64,F,A,7
2021-01-12,,55-64,M,A,2
2021-01-12,,65-74,F,A,2
2021-01-12,,65-74,M,A,1
2021-01-12,,75-84,F,A,7
2021-01-12,,75-84,M,A,5
2021-01-12,,85+,F,A,20
2021-01-12,,85+,M,A,7
2021-01-12,Ostbelgien,18-34,F,A,2
2021-01-12,Ostbelgien,35-44,F,A,3
2021-01-12,Ostbelgien,35-44,M,A,2
2021-01-12,Ostbelgien,45-54,F,A,6
2021-01-12,Ostbelgien,45-54,M,A,1
2021-01-12,Ostbelgien,55-64,F,A,6
2021-01-12,Ostbelgien,55-64,M,A,3
2021-01-12,Ostbelgien,65-74,F,A,4
2021-01-12,Ostbelgien,65-74,M,A,5
2021-01-12,Ostbelgien,75-84,F,A,15
2021-01-12,Ostbelgien,75-84,M,A,3
2021-01-12,Ostbelgien,85+,F,A,28
2021-01-12,Ostbelgien,85+,M,A,8
2021-01-12,Wallonia,0-17,F,A,6
2021-01-12,Wallonia,0-17,M,A,3
2021-01-12,Wallonia,18-34,F,A,425
2021-01-12,Wallonia,18-34,M,A,120
2021-01-12,Wallonia,35-44,F,A,421
2021-01-12,Wallonia,35-44,M,A,116
2021-01-12,Wallonia,45-54,F,A,510
2021-01-12,Wallonia,45-54,M,A,144
2021-01-12,Wallonia,55-64,F,A,430
2021-01-12,Wallonia,55-64,M,A,237
2021-01-12,Wallonia,65-74,F,A,349
2021-01-12,Wallonia,65-74,M,A,277
2021-01-12,Wallonia,75-84,F,A,788
2021-01-12,Wallonia,75-84,M,A,311
2021-01-12,Wallonia,85+,F,A,1750
2021-01-12,Wallonia,85+,M,A,380
2021-01-13,Brussels,18-34,F,A,38
2021-01-13,Brussels,18-34,M,A,29
2021-01-13,Brussels,35-44,F,A,57
2021-01-13,Brussels,35-44,M,A,34
2021-01-13,Brussels,45-54,F,A,100
2021-01-13,Brussels,45-54,M,A,62
2021-01-13,Brussels,55-64,F,A,129
2021-01-13,Brussels,55-64,M,A,142
2021-01-13,Brussels,65-74,F,A,175
2021-01-13,Brussels,65-74,M,A,199
2021-01-13,Brussels,75-84,F,A,523
2021-01-13,Brussels,75-84,M,A,219
2021-01-13,Brussels,85+,F,A,1302
2021-01-13,Brussels,85+,M,A,333
2021-01-13,Flanders,0-17,F,A,5
2021-01-13,Flanders,0-17,M,A,2
2021-01-13,Flanders,18-34,F,A,524
2021-01-13,Flanders,18-34,M,A,108
2021-01-13,Flanders,35-44,F,A,411
2021-01-13,Flanders,35-44,M,A,108
2021-01-13,Flanders,45-54,F,A,562
2021-01-13,Flanders,45-54,M,A,134
2021-01-13,Flanders,55-64,F,A,584
2021-01-13,Flanders,55-64,M,A,230
2021-01-13,Flanders,65-74,F,A,302
2021-01-13,Flanders,65-74,M,A,302
2021-01-13,Flanders,75-84,F,A,1391
2021-01-13,Flanders,75-84,M,A,651
2021-01-13,Flanders,85+,F,A,3574
2021-01-13,Flanders,85+,M,A,1012
2021-01-13,,18-34,F,A,15
2021-01-13,,18-34,M,A,6
2021-01-13,,35-44,F,A,9
2021-01-13,,35-44,M,A,5
2021-01-13,,45-54,F,A,14
2021-01-13,,45-54,M,A,3
2021-01-13,,55-64,F,A,6
2021-01-13,,55-64,M,A,4
2021-01-13,,65-74,F,A,1
2021-01-13,,65-74,M,A,1
2021-01-13,,75-84,F,A,2
2021-01-13,,85+,F,A,12
2021-01-13,,85+,M,A,2
2021-01-13,Ostbelgien,18-34,F,A,6
2021-01-13,Ostbelgien,18-34,M,A,2
2021-01-13,Ostbelgien,35-44,F,A,7
2021-01-13,Ostbelgien,35-44,M,A,3
2021-01-13,Ostbelgien,45-54,F,A,12
2021-01-13,Ostbelgien,45-54,M,A,2
2021-01-13,Ostbelgien,55-64,F,A,7
2021-01-13,Ostbelgien,55-64,M,A,3
2021-01-13,Ostbelgien,65-74,F,A,2
2021-01-13,Ostbelgien,65-74,M,A,1
2021-01-13,Ostbelgien,75-84,F,A,3
2021-01-13,Ostbelgien,75-84,M,A,2
2021-01-13,Ostbelgien,85+,F,A,3
2021-01-13,Ostbelgien,85+,M,A,2
2021-01-13,Wallonia,0-17,F,A,3
2021-01-13,Wallonia,0-17,M,A,3
2021-01-13,Wallonia,18-34,F,A,554
2021-01-13,Wallonia,18-34,M,A,198
2021-01-13,Wallonia,35-44,F,A,542
2021-01-13,Wallonia,35-44,M,A,168
2021-01-13,Wallonia,45-54,F,A,629
2021-01-13,Wallonia,45-54,M,A,198
2021-01-13,Wallonia,55-64,F,A,542
2021-01-13,Wallonia,55-64,M,A,274
2021-01-13,Wallonia,65-74,F,A,414
2021-01-13,Wallonia,65-74,M,A,327
2021-01-13,Wallonia,75-84,F,A,927
2021-01-13,Wallonia,75-84,M,A,348
2021-01-13,Wallonia,85+,F,A,2059
2021-01-13,Wallonia,85+,M,A,417
2021-01-14,Brussels,0-17,F,A,1
2021-01-14,Brussels,18-34,F,A,33
2021-01-14,Brussels,18-34,M,A,18
2021-01-14,Brussels,35-44,F,A,32
2021-01-14,Brussels,35-44,M,A,18
2021-01-14,Brussels,45-54,F,A,61
2021-01-14,Brussels,45-54,M,A,30
2021-01-14,Brussels,55-64,F,A,70
2021-01-14,Brussels,55-64,M,A,58
2021-01-14,Brussels,65-74,F,A,104
2021-01-14,Brussels,65-74,M,A,98
2021-01-14,Brussels,75-84,F,A,250
2021-01-14,Brussels,75-84,M,A,104
2021-01-14,Brussels,85+,F,A,679
2021-01-14,Brussels,85+,M,A,161
2021-01-14,Flanders,0-17,F,A,3
2021-01-14,Flanders,0-17,M,A,3
2021-01-14,Flanders,18-34,F,A,715
2021-01-14,Flanders,18-34,M,A,164
2021-01-14,Flanders,35-44,F,A,643
2021-01-14,Flanders,35-44,M,A,118
2021-01-14,Flanders,45-54,F,A,776
2021-01-14,Flanders,45-54,M,A,174
2021-01-14,Flanders,55-64,F,A,856
2021-01-14,Flanders,55-64,M,A,345
2021-01-14,Flanders,65-74,F,A,568
2021-01-14,Flanders,65-74,M,A,514
2021-01-14,Flanders,75-84,F,A,2033
2021-01-14,Flanders,75-84,M,A,911
2021-01-14,Flanders,85+,F,A,4930
2021-01-14,Flanders,85+,M,A,1415
2021-01-14,,18-34,F,A,11
2021-01-14,,18-34,M,A,4
2021-01-14,,35-44,F,A,22
2021-01-14,,35-44,M,A,4
2021-01-14,,45-54,F,A,12
2021-01-14,,45-54,M,A,6
2021-01-14,,55-64,F,A,7
2021-01-14,,65-74,F,A,3
2021-01-14,,65-74,M,A,2
2021-01-14,,75-84,F,A,4
2021-01-14,,75-84,M,A,3
2021-01-14,,85+,F,A,10
2021-01-14,,85+,M,A,3
2021-01-14,Ostbelgien,18-34,F,A,1
2021-01-14,Ostbelgien,45-54,F,A,3
2021-01-14,Ostbelgien,45-54,M,A,1
2021-01-14,Ostbelgien,55-64,M,A,1
2021-01-14,Ostbelgien,65-74,F,A,2
