,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
25025,72041,1,Dilsen-Stokkem,39,,
28089,91030,1,Ciney,6,,
26165,82009,1,Fauvillers,2,,
28479,91120,1,Somme-Leuze,1,,
25814,81001,1,Arlon,35,,
28876,92048,1,Fosses-la-Ville,6,,
25342,73022,1,Heers,11,,
28528,91141,1,Yvoir,6,,
25764,73109,1,Fourons,5,,
28825,92045,1,Floreffe,5,,
25396,73032,1,Hoeselt,4,,
106,11004,1,Boechout,6,,
25711,73107,1,Maasmechelen,59,,
25448,73040,1,Kortessem,6,,
28772,92035,1,Eghez̩e,10,,
28579,91142,1,Hasti̬re,2,,
25659,73098,1,Wellen,1,,
25500,73042,1,Lanaken,44,,
25606,73083,1,Tongres,39,,
28626,91143,1,Vresse-sur-Semois,2,,
28723,92006,1,Assesse,4,,
28670,92003,1,Andenne,11,,
25289,73009,1,Looz,17,,
29604,93018,1,Doische,2,,
318,11009,1,Brecht,20,,
28929,92054,1,Gesves,3,,
29139,92101,1,Profondeville,4,,
25078,72042,1,Oudsbergen,32,,
28142,91034,1,Dinant,12,,
26117,82005,1,Bertogne,3,,
25131,72043,1,Pelt,49,,
26064,82003,1,Bastogne,11,,
29087,92097,1,Ohey,4,,
28236,91059,1,Hamois,3,,
26014,81015,1,Messancy,5,,
29034,92094,1,Namur,140,,
28289,91064,1,Havelange,3,,
371,11013,1,Edegem,5,,
25968,81013,1,Martelange,1,,
25184,73001,1,Alken,6,,
28340,91072,1,Houyet,4,,
25916,81004,1,Aubange,27,,
28981,92087,1,Mettet,21,,
25236,73006,1,Bilzen,23,,
25867,81003,1,Attert,6,,
28427,91114,1,Rochefort,5,,
26852,83055,1,Manhay,5,,
27901,85047,1,Rouvroy,2,,
25553,73066,1,Riemst,11,,
26996,84016,1,Daverdisse,1,,
212,11007,1,Borsbeek,10,,
27174,84043,1,Neufch̢teau (Neufch̢teau),5,,
27274,84059,1,Saint-Hubert,1,,
27125,84035,1,Libin,3,,
27325,84068,1,Tellin,1,,
26950,84010,1,Bouillon,1,,
24444,71069,1,Ham,3,,
29751,93088,1,Walcourt,46,,
27467,85007,1,Chiny,6,,
27075,84033,1,L̩glise,3,,
29699,93056,1,Philippeville,19,,
27514,85009,1,Etalle,4,,
27369,84075,1,Wellin,1,,
27225,84050,1,Paliseul,2,,
29804,93090,1,Viroinval,3,,
