,Date,Age,Location
753,2020-01-13,93,Mussy-La-Ville
754,2020-01-13,85,Aubel
755,2020-01-13,85,Diest
756,2020-01-13,92,Waregem
757,2020-01-13,84,Ohey
758,2020-01-13,85,Kwaadmechelen
759,2020-01-13,83,Genk
760,2020-01-13,92,Zutendaal
761,2020-01-13,89,Millen
762,2020-01-12,67,Hechtel
763,2020-01-12,75,Hombourg
764,2020-01-12,95,Saint-Mard
765,2020-01-12,94,-
766,2020-01-12,67,Kuringen
767,2020-01-12,80,Sint-Truiden
768,2020-01-12,90,Péruwelz
769,2020-01-12,88,Paal
770,2020-01-12,94,Eisden
771,2020-01-12,86,Verviers
772,2020-01-12,55,Wez-Velvain
773,2020-01-12,92,Bree
774,2020-01-12,89,Eksel
775,2020-01-12,76,Mouscron
776,2020-01-12,70,Rulles
777,2020-01-12,82,Zuid-Afrika
778,2020-01-12,82,Genk
779,2020-01-12,62,Mortsel
780,2020-01-12,71,Nassogne
781,2020-01-12,92,Blegny
782,2020-01-12,-1,Gedinne
783,2020-01-12,91,Luingne
784,2020-01-12,90,Hasselt
785,2020-01-12,90,Zonhoven
786,2020-01-12,93,Beauraing
787,2020-01-12,86,Aubel
788,2020-01-12,86,Houthalen
789,2020-01-12,88,Tessenderlo
790,2020-01-12,87,Herne
791,2020-01-12,82,Jesseren
792,2020-01-12,85,Lanaken
793,2020-01-12,94,Diepenbeek
794,2020-01-12,87,Genk
795,2020-01-11,97,Templeuve
796,2020-01-11,88,Wellen
797,2020-01-11,82,Gesves
798,2020-01-11,64,Bastogne
799,2020-01-11,85,Verviers
800,2020-01-11,89,Bree
801,2020-01-11,85,Genk
802,2020-01-11,91,Evergem
803,2020-01-11,94,Zolder
804,2020-01-11,87,Profondeville
805,2020-01-11,66,Hondelange
806,2020-01-11,85,Tongeren
807,2020-01-11,73,Erpent
808,2020-01-11,92,Auvelais
809,2020-01-11,81,Vroenhoven
810,2020-01-11,88,Sart-Bernard
811,2020-01-11,82,Verviers
812,2020-01-11,80,-
813,2020-01-11,70,Diepenbeek
814,2020-01-11,81,Elen
815,2020-01-11,33,Bocholt
816,2020-01-11,88,Walhain
