YEAR_WEEK,NIS5,AGEGROUP,CUMUL,AgeGroup,COUNT,percent
21W33,13036,35-44,1320,35-44,1397,94.48818897637796
21W33,13036,45-54,1520,45-54,1625,93.53846153846153
21W33,13036,55-64,1689,55-64,1760,95.9659090909091
21W33,13036,65-74,1282,65-74,1256,102.07006369426752
21W33,13036,75-84,757,75-84,760,99.60526315789474
21W33,13036,85+,262,85+,283,92.57950530035336
21W33,13037,0-17,774,0-17,2469,31.34872417982989
21W33,13037,35-44,1468,35-44,1607,91.35034225264468
21W33,13037,45-54,1537,45-54,1668,92.1462829736211
21W33,13037,55-64,1585,55-64,1640,96.64634146341463
21W33,13037,65-74,1195,65-74,1197,99.83291562238931
21W33,13037,75-84,752,75-84,775,97.03225806451613
21W33,13037,85+,289,85+,295,97.96610169491525
21W33,13040,0-17,2108,0-17,9067,23.249145252012795
21W33,13040,35-44,4701,35-44,5659,83.07121399540554
21W33,13040,45-54,5095,45-54,5897,86.39986433779887
21W33,13040,55-64,5820,55-64,6103,95.36293626085532
21W33,13040,65-74,4450,65-74,4548,97.84520668425682
21W33,13040,75-84,2927,75-84,3043,96.18797239566217
21W33,13040,85+,1263,85+,1293,97.6798143851508
21W33,13044,0-17,524,0-17,1463,35.816814764183185
21W33,13044,35-44,989,35-44,1019,97.05593719332678
21W33,13044,45-54,991,45-54,1059,93.57884796978281
21W33,13044,55-64,1259,55-64,1303,96.62317728319263
21W33,13044,65-74,909,65-74,902,100.77605321507761
21W33,13044,75-84,502,75-84,508,98.81889763779527
21W33,13044,85+,217,85+,221,98.19004524886878
21W33,13046,0-17,693,0-17,2220,31.216216216216218
21W33,13046,35-44,1353,35-44,1386,97.61904761904762
21W33,13046,45-54,1468,45-54,1615,90.89783281733746
21W33,13046,55-64,1639,55-64,1682,97.44351961950059
21W33,13046,65-74,1230,65-74,1250,98.4
21W33,13046,75-84,721,75-84,728,99.03846153846153
21W33,13046,85+,261,85+,251,103.98406374501992
21W33,13049,0-17,1634,0-17,4618,35.3832828064097
21W33,13049,35-44,3097,35-44,3326,93.11485267588695
21W33,13049,45-54,3390,45-54,3616,93.75
21W33,13049,55-64,3560,55-64,3621,98.31538249102458
21W33,13049,65-74,3090,65-74,3162,97.72296015180265
21W33,13049,75-84,1716,75-84,1658,103.49819059107358
21W33,13049,85+,647,85+,693,93.36219336219337
21W33,13053,0-17,944,0-17,2915,32.38421955403088
21W33,13053,35-44,1971,35-44,2136,92.2752808988764
21W33,13053,45-54,2137,45-54,2320,92.11206896551724
21W33,13053,55-64,2386,55-64,2422,98.51362510322048
21W33,13053,65-74,1928,65-74,1923,100.26001040041602
21W33,13053,75-84,1015,75-84,1040,97.59615384615384
21W33,13053,85+,436,85+,440,99.0909090909091
21W33,21001,0-17,1645,0-17,31421,5.235352153018682
21W33,21001,35-44,9238,35-44,17662,52.30438228966142
21W33,21001,45-54,10624,45-54,15698,67.67741113517646
21W33,21001,55-64,9191,55-64,12055,76.24222314392368
21W33,21001,65-74,6110,65-74,7654,79.82754115495166
21W33,21001,75-84,4011,75-84,5072,79.08123028391167
