name,date_time,n_baseline,n_crisis,percent_change
Eeklo,2020-06-11,22431.5924129272,22502,0.00313876900831283
Mechelen,2020-06-11,82362.41376399,81160,-0.014599059316492642
Liège,2020-06-11,164620.166666667,155971,-0.052540140383774296
Sint-Niklaas,2020-06-11,69244.23589781401,67904,-0.019355198023873654
Diksmuide,2020-06-11,13083.911012967399,13042,-0.0032032480904112906
Antwerpen,2020-06-11,262506.288771789,255539,-0.02654141660524575
Brugge,2020-06-11,76015.273099617,74568,-0.01903924093938816
Halle-Vilvoorde,2020-06-11,146300.531005298,141708,-0.03139107543725649
Thuin,2020-06-11,36444.17100207,35997,-0.012270028094330875
Ieper,2020-06-11,26941.8333333334,27068,0.004682928036322637
Neufchâteau,2020-06-11,15431.3203790689,15394,-0.002418482550561381
Tongeren,2020-06-11,54103.5,54311,0.0038352417126433593
Tournai,2020-06-11,38601.897292336005,37086,-0.03927002035304027
Namur,2020-06-11,78944.909514774,76023,-0.03701200663517368
Brussel Hoofdstad,2020-06-11,304934.000000003,274829,-0.09872628175278168
Bastogne,2020-06-11,11622.9026294231,11696,0.0062890805255354214
Nivelles,2020-06-11,89441.93551762801,87280,-0.024171385660610112
Ath,2020-06-11,21298.8611111111,21002,-0.013937886611046698
Tielt,2020-06-11,24527.3147747997,24315,-0.008656258410229212
Maaseik,2020-06-11,58525.134763969996,57813,-0.012168015790856577
Marche-en-Famenne,2020-06-11,14974.5767020259,15452,0.03188225667237117
Kortrijk,2020-06-11,78335.70495923201,76174,-0.027595398041761667
Huy,2020-06-11,27696.5723952869,27849,0.005503482616464025
Turnhout,2020-06-11,116747.194444444,116240,-0.004344382294217425
Oostende,2020-06-11,43522.537241668004,46073,0.05860096676280653
Charleroi,2020-06-11,117226.841956377,112615,-0.03934117715201422
Mouscron,2020-06-11,21884.0560606545,21562,-0.014716470281463378
Hasselt,2020-06-11,118865.789966935,115258,-0.030351793968126428
Soignies,2020-06-12,47472.307270056,46678,-0.01673201316164011
Thuin,2020-06-12,36803.28581408,36812,0.00023677738895434294
Roeselare,2020-06-12,43192.346935453,43037,-0.0035966310347792458
Oostende,2020-06-12,44562.585316345,49902,0.11981833292999201
Neufchâteau,2020-06-12,15482.931006030001,15964,0.03107092538115948
Tongeren,2020-06-12,54616.833333333,55456,0.015364615915123921
Virton,2020-06-12,12417.8333333333,12613,0.01571664407371397
Waremme,2020-06-12,19932.920932297402,20079,0.007328532943002116
Tournai,2020-06-12,38649.59648888,37504,-0.029640580832702976
Sint-Niklaas,2020-06-12,68975.089445293,68056,-0.013324947494587323
Namur,2020-06-12,78587.77962795601,77569,-0.012963588394773825
Philippeville,2020-06-12,15898.333333333401,16148,0.015703952196242647
Veurne,2020-06-12,15923.403186498801,17949,0.12720878757994838
Verviers,2020-06-12,59556.166666667,59254,-0.005073641968231623
Mouscron,2020-06-12,22053.7077325238,21496,-0.025288615378779005
Mons,2020-06-12,68004.808497988,65566,-0.035862294914927206
Tielt,2020-06-12,24663.75,24582,-0.003314581116010339
Turnhout,2020-06-12,117012.99999999901,118888,0.01602386059669443
Oudenaarde,2020-06-12,29647.0833333337,30023,0.012679718353394936
Mechelen,2020-06-12,82223.06318281901,81551,-0.00817365781331582
Nivelles,2020-06-12,88878.17974798099,88675,-0.0022860475828501174
Marche-en-Famenne,2020-06-12,15480.883403666501,16871,0.08979568930828992
Eeklo,2020-06-12,22568.2638888889,22717,0.00659049857992516
Dendermonde,2020-06-12,53072.25,53062,-0.00019313294612532914
