date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-11-17 0800,Grevenmacher,Grevenmacher,965,1265.4,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-11-17 0800,Meurthe-et-Moselle,Meurthe-et-Moselle,4409,5906.0,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-11-17 0800,Virton,Virton,1726,2310.0,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-11-17 0800,Bastogne,Bastogne,2157,2916.4,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-11-17 1600,Mersch,Mersch,1459,2103.4,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-17 1600,Luxembourg,Luxembourg,10238,10462.8,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-11-17 1600,Bastogne,Bastogne,2449,3228.8,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-11-17 1600,Luxembourg,Esch-sur-Alzette,1640,291.8,49.617167595459996,6.1698185880195995,49.522074327795,6.0254361757286
2020-11-17 1600,Marche-en-Famenne,Marche-en-Famenne,543,619.6,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-17 1600,Moselle,Meurthe-et-Moselle,29,11.4,49.037552167624,6.6613465360915995,48.788772923342,6.161935534586201
2020-11-17 1600,Capellen,Capellen,1914,2851.4,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-11-17 1600,Esch-sur-Alzette,Esch-sur-Alzette,11822,15326.2,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-11-17 1600,Esch-sur-Alzette,Luxembourg,176,12.4,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-11-17 1600,Clervaux,Clervaux,870,1283.6,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-11-17 1600,Verviers,Verviers,512,576.0,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-11-17 1600,Meuse,Meuse,62,86.0,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-11-17 1600,Mersch,Diekirch,48,15.0,49.756366536944,6.1166859462950995,49.86111802693,6.1316698751135
2020-11-17 1600,Virton,Virton,1911,2624.0,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-11-17 1600,Moselle,Moselle,3977,5616.6,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-11-17 1600,Luxembourg,Capellen,132,15.2,49.617167595459996,6.1698185880195995,49.640456129419,5.9634696225832
2020-11-17 1600,Diekirch,Diekirch,1818,2535.6,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-11-17 1600,Vianden,Vianden,240,412.4,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-11-17 1600,Meurthe-et-Moselle,Meurthe-et-Moselle,5189,6901.6,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-11-17 1600,Remich,Remich,764,1157.8,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-17 1600,Trier,Trier,1496,1668.4,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-11-17 1600,Wiltz,Wiltz,849,1204.2,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-17 1600,Capellen,Esch-sur-Alzette,171,24.6,49.640456129419,5.9634696225832,49.522074327795,6.0254361757286
2020-11-17 1600,Arlon,Arlon,3701,5102.2,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-11-17 1600,Trier,Trier-Saarburg,50,17.0,49.762781847047,6.6556081013759005,49.696535167735995,6.695377539178799
2020-11-17 1600,Grevenmacher,Grevenmacher,958,1383.0,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-11-17 1600,Vulkaneifel,Vulkaneifel,114,139.2,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-11-17 1600,Redange,Redange,854,1316.2,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-11-17 1600,Saarlouis,Saarlouis,18,30.4,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-11-17 1600,Merzig-Wadern,Merzig-Wadern,1305,1556.6,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-11-17 1600,Trier-Saarburg,Trier-Saarburg,2124,2790.2,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-11-17 1600,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,2666,3331.0,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-17 1600,Echternach,Echternach,713,1079.2,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-17 1600,Neufchâteau,Neufchâteau,195,273.8,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-17 1600,Trier-Saarburg,Trier,37,15.8,49.696535167735995,6.695377539178799,49.762781847047,6.6556081013759005
2020-11-17 1600,Meurthe-et-Moselle,Moselle,16,13.0,48.788772923342,6.161935534586201,49.037552167624,6.6613465360915995
2020-11-18 0000,Capellen,Capellen,2059,2537.4,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-11-18 0000,Esch-sur-Alzette,Capellen,36,19.8,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-11-18 0000,Arlon,Arlon,4021,4654.4,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-11-18 0000,Meurthe-et-Moselle,Meurthe-et-Moselle,5428,6188.2,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-11-18 0000,Neufchâteau,Neufchâteau,245,251.4,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-18 0000,Redange,Redange,966,1183.2,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-11-18 0000,Wiltz,Wiltz,934,1100.4,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-18 0000,Meuse,Meuse,75,73.4,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-11-18 0000,Clervaux,Clervaux,1002,1166.4,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-11-18 0000,Verviers,Verviers,544,564.2,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-11-18 0000,Mersch,Mersch,1652,1884.4,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-18 0000,Moselle,Moselle,4370,4981.6,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-11-18 0000,Diekirch,Diekirch,1869,2237.6,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-11-18 0000,Marche-en-Famenne,Marche-en-Famenne,565,576.2,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-18 0000,Luxembourg,Luxembourg,8362,8977.6,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-11-18 0000,Vianden,Vianden,309,385.6,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-11-18 0000,Remich,Remich,849,1028.8,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-18 0000,Grevenmacher,Grevenmacher,1053,1248.8,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-11-18 0000,Esch-sur-Alzette,Luxembourg,484,170.8,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-11-18 0000,Echternach,Echternach,822,977.6,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-18 0000,Merzig-Wadern,Merzig-Wadern,1354,1429.2,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-11-18 0000,Trier-Saarburg,Trier-Saarburg,2340,2675.4,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-11-18 0000,Saarlouis,Saarlouis,19,28.4,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-11-18 0000,Virton,Virton,2050,2379.4,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-11-18 0000,Vulkaneifel,Vulkaneifel,120,135.2,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-11-18 0000,Trier,Trier,1373,1465.2,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-11-18 0000,Trier,Trier-Saarburg,14,10.6,49.762781847047,6.6556081013759005,49.696535167735995,6.695377539178799
2020-11-18 0000,Bastogne,Bastogne,2741,3029.4,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-11-18 0000,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,3052,3299.6,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-18 0000,Esch-sur-Alzette,Esch-sur-Alzette,11740,13395.0,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-11-18 0800,Wiltz,Wiltz,812,1068.8,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-18 0800,Meurthe-et-Moselle,Moselle,15,10.6,48.788772923342,6.161935534586201,49.037552167624,6.6613465360915995
2020-11-18 0800,Esch-sur-Alzette,Capellen,77,14.4,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-11-18 0800,Capellen,Esch-sur-Alzette,36,12.0,49.640456129419,5.9634696225832,49.522074327795,6.0254361757286
2020-11-18 0800,Verviers,Verviers,496,599.6,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-11-18 0800,Capellen,Capellen,2016,2632.4,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-11-18 0800,Redange,Redange,744,1155.4,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-11-18 0800,Neufchâteau,Neufchâteau,182,242.8,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-18 0800,Meuse,Meuse,49,68.0,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-11-18 0800,Arlon,Arlon,3307,4516.6,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-11-18 0800,Saarlouis,Saarlouis,14,26.4,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-11-18 0800,Trier-Saarburg,Trier,21,14.2,49.696535167735995,6.695377539178799,49.762781847047,6.6556081013759005
2020-11-18 0800,Mersch,Mersch,1433,1889.0,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-18 0800,Diekirch,Diekirch,1684,2202.0,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-11-18 0800,Marche-en-Famenne,Marche-en-Famenne,482,565.2,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-18 0800,Merzig-Wadern,Merzig-Wadern,1221,1486.8,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-11-18 0800,Trier,Trier-Saarburg,16,13.6,49.762781847047,6.6556081013759005,49.696535167735995,6.695377539178799
2020-11-18 0800,Trier-Saarburg,Trier-Saarburg,1931,2582.8,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-11-18 0800,Echternach,Echternach,608,935.6,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-18 0800,Grevenmacher,Grevenmacher,928,1272.8,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-11-18 0800,Remich,Remich,703,1028.8,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-18 0800,Moselle,Moselle,3498,4870.4,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-11-18 0800,Luxembourg,Esch-sur-Alzette,127,39.8,49.617167595459996,6.1698185880195995,49.522074327795,6.0254361757286
2020-11-18 0800,Luxembourg,Luxembourg,10901,10123.4,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-11-18 0800,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,2436,3105.8,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-18 0800,Vianden,Vianden,223,360.4,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-11-18 0800,Vulkaneifel,Vulkaneifel,109,141.0,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-11-18 0800,Bastogne,Bastogne,2204,2899.8,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-11-18 0800,Trier,Trier,1423,1664.2,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-11-18 0800,Esch-sur-Alzette,Esch-sur-Alzette,10563,13434.8,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
